yt_id,imdb_id,clip_length
7L2qP-xQ_7o,tt0118715,164.0
70eKt79PSQw,tt0837563,141.0
FZlm1ledK-I,tt0104438,263.0
hYQIObd_bog,tt0119174,202.0
dR3cjXncoSk,tt2250912,211.0
Pf5mDMWYRmE,tt0098067,98.0
jwjCPSUGPXU,tt7040874,115.0
swo423cXQuE,tt0377471,225.0
M-cO3MLYOy8,tt0112346,210.0
U7xQuGf5QHA,tt2848292,192.0
-2KG4lLGEl0,tt0318374,149.0
3IUoqFHJ6wk,tt2304933,157.0
2HuQzKat6hU,tt2119543,202.0
nqF0yFLjiXs,tt0087078,181.0
s-EheX9m-dE,tt0463985,133.0
Qc9eycqDJKk,tt7401588,142.0
Ua3NXljreQ4,tt0454945,162.0
uuWIaDATbnE,tt0844471,166.0
ZKuscOD0LOM,tt4701182,143.0
5kaBIMuW74Q,tt0099810,163.0
HhP2rEHWxCI,tt1748122,148.0
eP52omnnZmg,tt0384793,99.0
Fp5iPmpZiNE,tt0036855,142.0
bXpq-sf0Drk,tt0340377,163.0
9r4784rihOc,tt0322589,158.0
901lYbPmqu4,tt0181689,161.0
ZH7hyzPIbp0,tt0084787,113.0
EAd7cMSm4Ng,tt6772950,130.0
0lq1JIWQSlc,tt0170016,204.0
dLXri8sYr6Q,tt2848292,168.0
VmZ1ni2IDdo,tt0389860,193.0
a1REfTIc5po,tt0203009,162.0
57VO_eSiDG4,tt0312528,162.0
wMu4IBsX--I,tt0111161,201.0
SOcgrVL8Dg0,tt0218967,136.0
El0_VgXqgXU,tt0837562,216.0
YcbZKza_zUg,tt0099653,119.0
-npMZStX7dU,tt7690670,119.0
8T6_bpLwTrc,tt0277434,125.0
OCXvMchSYX4,tt0416320,163.0
-y6RPL5v1bU,tt3152624,227.0
p8L6CtsqDE4,tt0063350,148.0
4_zn64bRf6Q,tt1951264,201.0
m7xTvb-FAhQ,tt0055614,298.0
rqKaJ4Yp_oU,tt1658801,147.0
BiPY5_H9EIw,tt2709692,157.0
_d68kyNY0jI,tt0063350,204.0
GUDrinKzSus,tt0155267,177.0
LruyfJJT7qY,tt0186566,187.0
6VUfXGlADjU,tt0050468,163.0
wbt-sAOjnQQ,tt1078940,189.0
I8yvHZ7de2k,tt0369441,145.0
i6OCtSqrOQ0,tt0091541,193.0
FgF-RJYNzzY,tt1007029,152.0
FRvxzdkj_YI,tt0234215,107.0
2r8yw_fjoHA,tt0824747,109.0
97QNsiDKamk,tt0243736,152.0
mIGCgzqFR0s,tt3874544,290.0
CmkT8YU4jH8,tt0425112,204.0
8YDVV75itA0,tt2637276,141.0
H6DqWP733F4,tt0102057,160.0
a_4TTRfXkgk,tt0287717,160.0
WL56IXifi9w,tt1092026,82.0
4JE04So6OqU,tt2975590,210.0
SQNzOyXHbYY,tt0097239,144.0
IYqE3JfSbzA,tt0815245,110.0
iRdTetA_Dqo,tt0104257,132.0
BjsuTimPBAM,tt0243133,250.0
Ls_8cFgBUj4,tt0106677,165.0
v_wQqiFXgkY,tt1572315,205.0
iYP5-Dl3rhg,tt0082200,210.0
zQTDoxrgBeU,tt0186566,178.0
QQAd5xx0XHc,tt3799694,195.0
M-APah17AQA,tt0380510,163.0
BQdE0_Hy10M,tt0101507,162.0
GnAKqKB8ryc,tt0988849,168.0
agRBVqecl5Y,tt0333766,152.0
ZTi7bZGkJk4,tt1618442,209.0
hgGf5X8-j1s,tt0209144,199.0
LODjoHqYzyw,tt3316948,201.0
j_z70ZaqWUE,tt0093693,130.0
-34RUyP-DH8,tt1266029,154.0
vVmZO3W0I1A,tt1648190,172.0
JCo3QW-S310,tt3280262,176.0
4F_jLtYFT6Y,tt2473510,144.0
Mdp4T_G0Xsc,tt3322364,188.0
bkhUe1txLoc,tt1767372,189.0
rYHCZi-tmTE,tt1195478,177.0
9WY5gDBR0gM,tt1130884,160.0
VUGhvs8zMZ8,tt0871426,65.0
Ihd-NwI030c,tt0399201,162.0
Vzpu-P2eRuI,tt0268978,170.0
J_oIvRfVXoA,tt0832266,195.0
5AwBYVybnY0,tt0119468,161.0
IC8xA-bOXOo,tt0363547,173.0
s_7PfocHTmc,tt0112384,184.0
qAfsU2gI408,tt0112818,198.0
PlKDQqKh03Y,tt1210166,183.0
gwY85_MC_AY,tt0250494,196.0
l0zmCUVB0Yw,tt0096101,191.0
AJ4edZsgJAk,tt0120684,115.0
0tRSAQUheo0,tt0285742,142.0
jdp_wn_UrcE,tt0800320,199.0
wyHOKleZzFM,tt1540011,182.0
-T16rxR-nCo,tt0328828,118.0
5TSXq6wBPVM,tt1279935,163.0
_2LMj-4PtdU,tt0390022,199.0
b10LyOeq5Hs,tt1659337,189.0
7hwkR_wvrM8,tt1078940,138.0
0OppC7vTtY0,tt0479884,174.0
YjfLp0bll5U,tt1489889,163.0
dw9seHSkfw8,tt1175709,121.0
GN1LhsTj5CQ,tt2637294,215.0
1mVk7wal9bk,tt1959563,187.0
9JQEbj0uh0k,tt2386490,225.0
ri8WqeTAUDE,tt0099204,163.0
5y4ZUMVTGcI,tt0949731,134.0
tv_xMisf9oc,tt3321300,197.0
OdU3vEh3qfs,tt0265459,159.0
qEb51O12XFw,tt3614530,150.0
clP9p1ipHEw,tt1231587,132.0
lJ7F2kWLGuE,tt6921996,223.0
oY31D4QSB-Y,tt0095179,135.0
fEA9BJfaaYA,tt0301470,199.0
k6TPsaQRQus,tt1563738,92.0
FM_KxbSOjJk,tt0252028,161.0
nfFsHF8guzM,tt1753383,125.0
L9x5p-s4zKs,tt2377322,140.0
gKRyD4CSjto,tt0100157,161.0
b-_C0lWgga0,tt3530002,115.0
Wd5RTjtSSxk,tt1469304,143.0
uaLxw2PDnmk,tt3181822,196.0
pjmRcGHqKZ0,tt0395972,121.0
gCHCR0wZclg,tt4555426,216.0
FHSwbggymEU,tt0464154,156.0
6I5B0jyLBUg,tt0892791,182.0
CaAtavKP0-4,tt0117802,163.0
KXTBm9eUiko,tt2011159,158.0
l7-rpI0RrQU,tt0073802,77.0
o3s4QiK4MSM,tt3567288,188.0
KzUKcXxbU4U,tt3960412,135.0
sehGLkGe-iI,tt0098625,155.0
uQlKjRScXww,tt0110989,152.0
0zHmeTeLgMY,tt0112431,210.0
hP77V2X1Biw,tt0056217,162.0
GpLeHrROqRE,tt1563742,137.0
QnyzZbrrh9M,tt0386588,163.0
ttEZ7b4Cf9w,tt2975590,190.0
rviQWy48B_w,tt0887912,289.0
y8i5Nwg_TqU,tt0095647,123.0
0K6bVf4ra1w,tt4172430,144.0
3dluAhOU1cA,tt0116483,210.0
934iAVn9CKw,tt0101921,207.0
pOgf3IaWlgU,tt0106673,223.0
XvZhDq1NRhk,tt1709143,208.0
O1-lkTgl-ws,tt0408236,163.0
r2GpJzIdoYQ,tt2304933,175.0
0eC9f13FIJ0,tt0424993,149.0
1fM9KjHmVNw,tt3168230,153.0
awkGgPALfho,tt2510894,188.0
PahVp7p3XHg,tt0463998,135.0
zm9XOZXVyyU,tt2378507,185.0
USLznFhxNF4,tt1517489,232.0
PWz21cujw28,tt7008872,151.0
sIbYUg1FKK4,tt1119646,104.0
ay1hpFWZQnI,tt7401588,133.0
JVKMNw0uUGw,tt0076729,138.0
lVZNAyNWcgs,tt0976051,161.0
kHTAJHod8-g,tt0082846,162.0
DiNE5iYBuHA,tt0071577,153.0
p4Pq9aZVV9Y,tt2436386,141.0
iPcAns5pKVw,tt5109784,144.0
f6-8wpMn_8I,tt1307068,159.0
p_-Zm_G8cBI,tt0285742,109.0
E9uah5ldjvo,tt6823368,160.0
cqD8XBONBHY,tt0144120,207.0
bBil15ORYI0,tt0452594,153.0
HOpLncx62oY,tt0114898,182.0
YER_g7jph94,tt0100133,147.0
hA1BikUzBKc,tt0268397,160.0
KuIheGaiFLM,tt0105435,206.0
DcH_p1vfD1g,tt0241303,156.0
P4kQvkvGi9M,tt0059113,216.0
GzMBisWrn_M,tt3062096,210.0
jx6Rgn1ioAk,tt0299658,159.0
nTAYbwY6oeU,tt4701182,142.0
v5-gQQunvJw,tt0150377,163.0
S4PYI6TzqYk,tt0075860,161.0
MIpPd7IhPNA,tt1666801,142.0
0gouIFYgm2k,tt0312528,190.0
AhbCYVILusc,tt0441773,199.0
E0wfFdGnwx0,tt0070379,161.0
Kz6J6Y2DpL0,tt3316948,201.0
5Jdk3riKKwo,tt0195685,158.0
gQMtp2WxEA4,tt0090633,207.0
5e7c30eNNy4,tt0452598,160.0
MnMZeDmfgmU,tt0401792,157.0
XWgSKXw8ZwI,tt0090633,158.0
jq2tARSds7M,tt0252028,163.0
rh1lZYqwJAQ,tt1013753,140.0
_OtcwxERu50,tt0144084,142.0
inrI2qvps58,tt0368709,145.0
n4pUbyGBD18,tt0101635,162.0
N9hJ6pUeqxQ,tt0099141,172.0
gVdIiTE1ykg,tt4572792,186.0
umcyzRBeJtE,tt2250912,139.0
zjm_GqK-Kmo,tt0104438,113.0
AjAJNPCQ1Fs,tt0492044,116.0
tFBSGc3v7BI,tt2870612,172.0
9EOazpvA7-U,tt3062096,238.0
p92CKGAeQUY,tt0070379,179.0
YO2-9VWwiUI,tt0116191,161.0
Mq462kfFKI8,tt0134119,159.0
WCl3EnHnm_c,tt0032904,194.0
ZEqt7tr41Mk,tt0387564,163.0
tQJTJdTM0Wk,tt0268380,162.0
-SKfkvvtqN0,tt0069704,198.0
gEdTciZtW4o,tt1204977,222.0
_X6dHrTceEE,tt7008872,182.0
8p6L3Vl8ezA,tt0810819,203.0
mEzXLJL48nA,tt0267913,166.0
EdC7U0ZRALs,tt1825157,172.0
n_c7JtDNNUo,tt0118928,114.0
eoffuyXUhLs,tt2752772,206.0
NGtMNsci-zk,tt0486822,158.0
4g_oMoSgIas,tt3371366,141.0
kRg5-TIF9LQ,tt0412019,96.0
Jgmk5D4a8K8,tt0076729,172.0
qYEOmZzqX28,tt7424200,252.0
LMViEmB4_Fk,tt1289401,161.0
1WRLqzGkzNw,tt0036775,178.0
vUuAbRVVZwA,tt1483013,199.0
ygU2QenlIvU,tt0770752,148.0
IhTgiNhfF7k,tt0031725,173.0
geiub8WP_XE,tt1640484,187.0
mdcXOlUMfq0,tt0401792,163.0
ZPDbP3gms30,tt5952594,121.0
4hA7ILi4l68,tt5968394,154.0
iYf3nqYQXDI,tt0243655,168.0
LZ6HA66dXVw,tt4779682,183.0
1fVPS7eLbME,tt3063516,152.0
ZurT6BG1OM8,tt0108065,130.0
TQXuazYI_YU,tt0097958,158.0
3SiGgXIYppA,tt1078940,98.0
sdea5Iq5D_U,tt0492389,247.0
acO1g9PEIBM,tt0416236,155.0
Ru2Mvkf9dL8,tt0097366,163.0
xqeAW5qAHNQ,tt4537896,100.0
eMgfTq1Z2n8,tt1815862,187.0
5LZfv0tLZKE,tt0387564,162.0
I3K8xBfywg0,tt0095253,206.0
RMRJQL65AqA,tt2322441,172.0
Kq3TiuRC-VQ,tt0289765,236.0
C7ke6vWUu18,tt0343135,161.0
jr60kvuKw3w,tt0338526,126.0
z7tcVyV7wjw,tt0481499,190.0
5qfoeuQFFHw,tt0117381,135.0
AX-qpuOuDVg,tt8695030,115.0
aJY0vUsHL9Y,tt1655420,157.0
X1rnBQJxfdk,tt0103874,143.0
7Vhxv6URu5I,tt1272878,170.0
BJHzyg9AOsY,tt0091949,150.0
nW-NiGp1gys,tt0177789,161.0
717gDCZQsdc,tt0387564,164.0
cJYwpfA3HWY,tt0068245,161.0
PuFTYd0b6n0,tt0424993,203.0
H6XIREQHU8M,tt0115624,192.0
6D64t1trSRs,tt2034800,186.0
gWB-uAtqUIs,tt0276751,138.0
x3SUKG6l6FQ,tt0491747,163.0
YRruOzr9_w0,tt2702724,201.0
3uUUeNqdMMU,tt1535108,149.0
N6ffGVe63c0,tt0171363,162.0
bFWMtZmjwR4,tt1456635,161.0
cMwOJoesx8M,tt3450650,166.0
zvy5tDkETfQ,tt0095647,140.0
fY-Aprk4mtY,tt0384680,157.0
TSAdyzdX4eA,tt2170299,178.0
1RbdA_geYpU,tt0804497,98.0
iFm-KZgioX8,tt0362120,184.0
hFfQhVgQU44,tt7424200,245.0
aFnS18LM8Ws,tt0892769,196.0
FOM6rvU9xN4,tt0091541,208.0
1yi8Mc-5kLc,tt1307068,159.0
DMUnxdly1zI,tt0472160,153.0
JyEvCZ8kwW4,tt0419706,167.0
qcFVUGNUWuk,tt0345950,148.0
MneFTo1gRq0,tt0114814,201.0
hTzqKlFConk,tt0408236,159.0
NtgFKdWcKXY,tt0084787,163.0
LeA8ojVy8Fc,tt0829150,189.0
qaQUmqNJTO8,tt0469623,137.0
-nCYpOC-Gtk,tt0111161,174.0
UfeogSVgTsU,tt0080745,241.0
LPPJdOGshUM,tt0042192,162.0
hQogMjsahWU,tt0245562,163.0
ujX0y3zcvP8,tt0899106,79.0
EwSSmKP7ADQ,tt0119215,110.0
j1tkwdfz7n4,tt0496806,160.0
OywTdKpHE8M,tt0245562,163.0
qZmteh2hT9A,tt0408236,155.0
vGvDCmuDKKE,tt0335266,207.0
EKd7hAoXDPU,tt0424993,218.0
TffPDHIwQtc,tt0395169,134.0
1tfK_3XK4CI,tt0077975,137.0
UbwxGgR-EAM,tt0475290,129.0
x7qvOFN1QZg,tt0472181,186.0
sDEWZnPJGRU,tt0120794,196.0
fdw_aFH3To4,tt0102266,161.0
qPkKjKAyJ8I,tt2310332,197.0
pW-ZHlM3RxI,tt0114069,103.0
AV3CrPe-1q0,tt2345759,191.0
fnpUxSXWy6I,tt2788710,175.0
Z5Hmi5x6JA8,tt1093357,166.0
G9D_0pXaM68,tt0104438,160.0
Tggs6HJxghE,tt1305583,148.0
2kt3CmzYGu4,tt2543164,143.0
3jYu-qta0mU,tt0102526,135.0
uMH_Ajdp3E0,tt0899106,87.0
LwELqrqsf_o,tt0065528,143.0
etixMqUt8Ak,tt7334528,91.0
akMZQpIbTm4,tt0449059,139.0
PBVW7az0PkM,tt0817230,81.0
7wYMAJSnpVo,tt1045670,162.0
Mlv16s4DxwI,tt0042208,188.0
a_hsjTExzbw,tt1001526,167.0
jm7xE-OyJUY,tt1959490,163.0
p5n3koQZVDY,tt1262416,205.0
61xq5Kja1Uo,tt0268695,152.0
g3svdzmBtic,tt1430626,205.0
8MW3KJUa8FQ,tt0075860,155.0
cB0p96nOXjo,tt0780567,163.0
gQO9bgOLhmg,tt2406566,164.0
3orSzPUIVJw,tt0099653,103.0
eWP8JMcy3O0,tt2788710,162.0
xYIhxXt58uE,tt4779682,195.0
corlGzKJqAc,tt0035015,165.0
zt4ek_5zQgY,tt0088680,175.0
GSwNuK9xedg,tt0109831,158.0
EQG3I5efwWo,tt0177789,162.0
cZKYcRqPh-o,tt1951266,206.0
yBS-MktwqgI,tt0127536,162.0
7wZdMPB-O6Y,tt2091256,203.0
rku6u5PmiZ4,tt1130884,137.0
KLIB40d6Pz8,tt1430626,172.0
HIPljGWGNt4,tt0372588,152.0
zStjjc7SBto,tt0163651,151.0
3Avu3KdHGdo,tt4925292,114.0
6ZMZYrdXtP0,tt0120382,153.0
7RJnMME0XAw,tt0112384,129.0
v7tTCb-WU-A,tt0245046,171.0
vEaLVMOwHn4,tt5912454,113.0
p5lEvn7ejJI,tt0120780,159.0
ja00D_L5tm8,tt0120787,136.0
5pJOdrchPlo,tt0080678,163.0
dg6PaO0e6wA,tt4572792,235.0
1c7FYxTa2mQ,tt0134847,187.0
y6uK9wxhl_w,tt3553442,144.0
QQJDkZZaA00,tt0073802,122.0
71FkH7FwfFg,tt2230358,130.0
N7UtdTiuO3w,tt0218967,169.0
-p4TkuB20bs,tt0498381,139.0
nO7qxQsQK44,tt0371246,176.0
jxsvzuRl1O8,tt0218967,170.0
e198XToyAkk,tt6095472,160.0
fmRWWrBqiJE,tt0106701,188.0
I9NGZteE31I,tt4795124,177.0
L4fJ1ht5TJM,tt0109340,160.0
TajTfrf2yXs,tt1355630,209.0
RuFd7DELPYc,tt4701182,144.0
VfXFbuW47kA,tt0047296,163.0
dwMz7K0kr-M,tt1600195,182.0
tj3Trywp_zk,tt0837562,188.0
XHuo5etrwvY,tt5726086,188.0
4uVgjb0gO9E,tt0258068,163.0
qyvR5lglbTE,tt1234721,184.0
VVAlND4mt5s,tt1204977,182.0
cXCMz340CRg,tt0765429,150.0
MXYUFlvaGpk,tt0119874,
WOBy9Q8Gf9I,tt0114852,101.0
EeEhcPAOGUo,tt0416508,152.0
wNbKp6IGhrc,tt0870111,210.0
v_lHiT6UVCE,tt0100935,159.0
ce5cnb_5dVk,tt3531824,166.0
UzTveNwweRM,tt2637294,148.0
t1TC-pegncQ,tt0454921,163.0
A6d0qIZY3Hg,tt6095472,148.0
yAmTu-R5MQM,tt0041090,161.0
gDPJG9FP3iM,tt1409024,196.0
7Dxxk1az9Uo,tt2872732,177.0
RYlj-btwi6o,tt0094721,116.0
B3v1kEzT4bA,tt0107387,182.0
-JERO2LQSKc,tt1213663,184.0
irhRobBI3BE,tt2908446,204.0
AgJE212GTcs,tt0068245,163.0
f6F6MzMT2g8,tt0112384,163.0
C-FH-TOuFpQ,tt0810819,202.0
PTOkGaI3ZAE,tt2937696,142.0
65pGOp7qa_s,tt0090633,177.0
5uvhg1AtZlQ,tt0822847,198.0
xCQ3ZdnptUM,tt1951266,169.0
E4rFRdmeWqU,tt6495770,142.0
wZaCK0PDUMI,tt0208003,155.0
R9WGPRckS1s,tt0063522,162.0
LkimMjwfjrQ,tt1291584,194.0
61ZwsdoEI9U,tt1211956,208.0
znxRGH92XDg,tt0120679,158.0
obnODOdLD7k,tt0094027,138.0
JyEYiaZW3Ok,tt0810819,202.0
bYO_AhZaG24,tt0318155,177.0
G36NDRDO6L8,tt0218967,169.0
1Rhs3PVAP4o,tt1596363,97.0
RkxAAilnLEI,tt0415306,134.0
JZZnBoruCik,tt0454921,149.0
Sqnrzd0HCRY,tt3717252,145.0
rGDHR_rveJc,tt1572315,201.0
Tx-kB1KKLJ0,tt0081398,198.0
euxVy9j6TTU,tt0275022,144.0
vXQlXYcAksI,tt7547410,133.0
Tf9j5763-Gc,tt0087800,173.0
Q-ABzsALkYs,tt7401588,143.0
DKtjBqJ4NxA,tt0086465,120.0
BZSb0JCWcXk,tt0032138,144.0
DLf5iJ2jOZ4,tt0375568,153.0
GCfWXNmFFbM,tt0054331,210.0
aJHRyOrRnQk,tt0431021,223.0
C0vM89y4088,tt3717490,196.0
8Y_Vepe_rVA,tt0103596,120.0
ACCoL8xk0Jg,tt0300051,160.0
QQ6SadUAXWQ,tt1153706,153.0
TMeiAg1kXKs,tt0120787,175.0
j8yAjWvAqyM,tt0345950,78.0
NPY5Iq-tCvk,tt6320628,153.0
aRmaCLDJ8Xk,tt0300532,208.0
V5ej5BJ55us,tt0080678,132.0
R1zRKVLsmrM,tt0096101,116.0
GbZZ2TDY5dA,tt7137846,188.0
KrIUn0qTaCE,tt1979320,195.0
dO_D5ilNoZA,tt0119488,169.0
K4j25DUQLgE,tt0256380,157.0
wbROoMNi8Ho,tt0112401,195.0
qCG-yxYUgJU,tt0365485,154.0
_yMeXMRn9KU,tt0060196,174.0
plqzeUB9B-w,tt0086425,67.0
C0SqH_PRfGU,tt0120647,128.0
gprLI38JwQ0,tt0096061,115.0
e72atw7hctA,tt1232783,161.0
0vVy9NBehoc,tt0345950,127.0
ocqy8r8rDI0,tt5462602,190.0
1pzV9GoSuys,tt1210166,74.0
faaBOJDQ_Lc,tt0275022,163.0
y8Jkls3xgvg,tt0118607,159.0
A_CGtuDwl-A,tt3874544,222.0
u455yxBv35A,tt0267913,202.0
v8OMHtUg9sU,tt0765429,158.0
90vUFwUp6mw,tt1817273,168.0
sf1LMw0a95g,tt1711525,147.0
c9YJ-KJZKyY,tt0101329,236.0
m0etOugqkPU,tt3564472,180.0
HYqSugRiG5Y,tt0085333,168.0
pYwgIQaq9qY,tt0118655,128.0
9DKqoFCTC6E,tt1229822,90.0
kt1aHAlXi4g,tt2241351,132.0
U6fx_zJtL8I,tt0329575,115.0
dKC2CPS9AFI,tt0066999,160.0
RRDbQPvtAxY,tt2279373,143.0
VUgsvd3ZjvA,tt0338526,177.0
6Dg0qouE5Zo,tt0318155,192.0
402xHwQGVsE,tt0106598,161.0
TvFwTMU0vyY,tt0090060,158.0
1Jk8IZYcxmQ,tt1700841,180.0
Q1IQ49BHkEg,tt0398165,163.0
iB89FIStq7Y,tt0092086,194.0
VFqbGbU8f8o,tt0385267,210.0
X0d8qyjQ20M,tt4382872,202.0
niFndjwElIY,tt0080678,141.0
wyRq2S8BTVM,tt0101764,97.0
omFpUjAzM9M,tt0097239,170.0
5IPCNRlCYP8,tt0112642,198.0
fo0KBFhChFU,tt3450650,193.0
QW1kAlnQLd4,tt1838544,132.0
Br9zd0KkFTU,tt0107362,198.0
x4CEkYJNir0,tt0037913,177.0
4cJs-f3NC6s,tt0049833,123.0
YhK1fYhl5dg,tt0412019,82.0
C0mHRQn_YrI,tt0413895,152.0
o94LScznlmY,tt0112642,186.0
wjkdynBFHuQ,tt0086465,132.0
fpqwsexDM0I,tt1764651,250.0
hgGi1ODlBBo,tt1386703,211.0
eAJLWSg5PIY,tt0120201,161.0
k2NaHBVVYzY,tt0083929,95.0
iX-nnY0x-SE,tt1135487,179.0
-U_IRXhodds,tt0457400,212.0
aTc9vNCS8vo,tt0113870,200.0
S0IfbNVCoCE,tt0091763,193.0
JJrTnnaEZ_w,tt4572792,156.0
fbrN51dPm0I,tt0365748,210.0
w424xCe0eGQ,tt5776858,174.0
qw34BbyVK7c,tt0120520,198.0
4FsDFOIWiHo,tt0120768,209.0
tUuzV9kwSBE,tt0356634,161.0
gI1_6ob3hio,tt0037913,166.0
yCIgtidXAnQ,tt1139328,194.0
z7coL1WcCoI,tt0116483,215.0
rl6SpFVJoUA,tt1078940,196.0
w0BK_hLT-Wo,tt1440129,190.0
_HoKFu0orAs,tt0036855,168.0
